symbol,fyers_symbol,industry,cmp,avg_volume,avg_turnover,data_days,range_low,range_high,range_width_pts,range_width_pct,support_touches,resistance_touches,containment_pct,range_valid,range_reject,range_position,in_bottom_zone,below_range,breakdown,strong_downtrend,grid_gap_pts,total_levels,grids_to_bottom,order_qty,order_value,gross_profit,rt_cost,net_profit,init_buy_qty,cash_reserve,grid_viable,grid_reject,final_status,final_reason
LTFOODS,NSE:LTFOODS-EQ,Fast Moving Consumer Goods,412.15,2484763,1004890099,60,365.85,438.05,72.2,19.73,3,5,93.3,True,,0.6413,False,False,False,False,3.6,21,13,0,0,0,0,0,0,0,False,grids_to_bottom 13 > 5,NOT_IN_ZONE,pos=64.1%
OIL,NSE:OIL-EQ,Oil Gas & Consumable Fuels,491.85,6387854,3071377364,60,453.88,512.38,58.5,12.89,7,3,93.3,True,,0.6491,False,False,False,False,2.9,21,14,0,0,0,0,0,0,0,False,grids_to_bottom 14 > 5,NOT_IN_ZONE,pos=64.9%
COALINDIA,NSE:COALINDIA-EQ,Oil Gas & Consumable Fuels,461.8,12700701,5758817017,60,425.97,480.28,54.31,12.75,6,4,93.3,True,,0.6597,False,False,False,False,2.7,21,14,0,0,0,0,0,0,0,False,grids_to_bottom 14 > 5,NOT_IN_ZONE,pos=66.0%
TECHM,NSE:TECHM-EQ,Information Technology,1449.1,2453465,3463164348,60,1318.12,1510.93,192.81,14.63,12,5,96.7,True,,0.6793,False,False,False,False,9.65,20,14,0,0,0,0,0,0,0,False,grids_to_bottom 14 > 5,NOT_IN_ZONE,pos=67.9%
ICICIGI,NSE:ICICIGI-EQ,Financial Services,1864.0,703570,1266555730,60,1678.53,1944.24,265.71,15.83,4,4,98.3,True,,0.698,False,False,False,False,13.3,20,14,0,0,0,0,0,0,0,False,grids_to_bottom 14 > 5,NOT_IN_ZONE,pos=69.8%
CASTROLIND,NSE:CASTROLIND-EQ,Oil Gas & Consumable Fuels,184.0,1601933,292414437,60,173.77,188.2,14.43,8.31,5,21,98.3,True,,0.7089,False,False,False,False,0.7,21,15,0,0,0,0,0,0,0,False,grids_to_bottom 15 > 5,NOT_IN_ZONE,pos=70.9%
TATASTEEL,NSE:TATASTEEL-EQ,Metals & Mining,210.04,32080586,6544092416,60,186.83,219.29,32.45,17.37,6,4,93.3,True,,0.7153,False,False,False,False,1.6,21,15,0,0,0,0,0,0,0,False,grids_to_bottom 15 > 5,NOT_IN_ZONE,pos=71.5%
INDHOTEL,NSE:INDHOTEL-EQ,Consumer Services,654.15,2798589,1767060011,60,577.79,679.25,101.46,17.56,4,7,96.7,True,,0.7526,False,False,False,False,5.05,21,16,0,0,0,0,0,0,0,False,grids_to_bottom 16 > 5,NOT_IN_ZONE,pos=75.3%
SUNPHARMA,NSE:SUNPHARMA-EQ,Healthcare,1833.9,3930089,6909255869,60,1629.98,1899.77,269.79,16.55,4,7,98.3,True,,0.7558,False,False,False,False,13.5,20,16,0,0,0,0,0,0,0,False,grids_to_bottom 16 > 5,NOT_IN_ZONE,pos=75.6%
NYKAA,NSE:NYKAA-EQ,Consumer Services,266.45,4896831,1266777020,60,233.19,277.11,43.92,18.84,7,6,96.7,True,,0.7573,False,False,False,False,2.2,20,16,0,0,0,0,0,0,0,False,grids_to_bottom 16 > 5,NOT_IN_ZONE,pos=75.7%
